image_name,img_path,y_true,y_pred,confidence,correct,overlay_path,heatmap_path,heatmap_npy_path,original_path,prob_0,prob_1,prob_2,prob_3,prob_4
mmac_task_1_val_0071.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0071.png,1,0,0.6693048477172852,0,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0071.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0071.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0071.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0071.png,0.6693048477172852,0.01651426963508129,0.08502661436796188,0.07493562996387482,0.1542186439037323
mmac_task_1_val_0240.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0240.png,3,3,0.9299300312995911,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0240.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0240.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0240.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0240.png,0.015312863513827324,0.0013119048671796918,0.006332430522888899,0.9299300312995911,0.047112733125686646
mmac_task_1_val_0172.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0172.png,0,0,0.6430429816246033,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0172.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0172.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0172.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0172.png,0.6430429816246033,0.0124460244551301,0.07793712615966797,0.0710948035120964,0.19547908008098602
mmac_task_1_val_0244.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0244.png,4,4,0.7064862847328186,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0244.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0244.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0244.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0244.png,0.00043438811553642154,0.17951267957687378,0.003382821101695299,0.11018378287553787,0.7064862847328186
mmac_task_1_val_0234.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0234.png,2,2,0.8361830115318298,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0234.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0234.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0234.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0234.png,0.001278212177567184,0.025856999680399895,0.8361830115318298,0.08693380653858185,0.0497480109333992
mmac_task_1_val_0068.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0068.png,1,0,0.35033559799194336,0,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0068.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0068.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0068.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0068.png,0.35033559799194336,0.26661595702171326,0.13442008197307587,0.09341368824243546,0.15521466732025146
mmac_task_1_val_0117.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0117.png,2,1,0.6271211504936218,0,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0117.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0117.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0117.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0117.png,0.00807967595756054,0.6271211504936218,0.1374386101961136,0.14586248993873596,0.08149808645248413
mmac_task_1_val_0050.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0050.png,0,0,0.7053678035736084,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0050.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0050.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0050.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0050.png,0.7053678035736084,0.025233210995793343,0.023429308086633682,0.12319455295801163,0.12277506291866302
mmac_task_1_val_0035.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0035.png,4,4,0.7136654257774353,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0035.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0035.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0035.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0035.png,0.0008483278215862811,0.0005538733676075935,0.079503633081913,0.205428808927536,0.7136654257774353
mmac_task_1_val_0102.png,a:\Applied AI\group work\AppliedAIGroupProject\Testing\Testing_Images\mmac_task_1_val_0102.png,1,1,0.733778178691864,1,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\overlays\mmac_task_1_val_0102.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0102.png,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\heatmaps\mmac_task_1_val_0102.npy,a:\Applied AI\group work\AppliedAIGroupProject\outputs\mixed_mtl\explainability\gradcam_selected\originals\mmac_task_1_val_0102.png,0.051036302000284195,0.733778178691864,0.03171601518988609,0.05239829048514366,0.13107120990753174
